agent_id,agent_name,agent_type
agent_001,FinanceBot-001,finance
agent_002,FinanceBot-002,finance
agent_003,CommerceBot-003,commerce
agent_004,SupportBot-004,support
agent_005,SupportBot-005,support
agent_006,SupportBot-006,support
agent_007,FinanceBot-007,finance
agent_008,AccountingBot-008,accounting
agent_009,FinanceBot-009,finance
agent_010,AccountingBot-010,accounting
agent_011,CollectionsBot-011,collections
agent_012,FinanceBot-012,finance
agent_013,FinanceBot-013,finance
agent_014,FinanceBot-014,finance
agent_015,SupportBot-015,support
agent_016,SupportBot-016,support
agent_017,AccountingBot-017,accounting
agent_018,AccountingBot-018,accounting
agent_019,FinanceBot-019,finance
agent_020,AccountingBot-020,accounting
agent_021,SupportBot-021,support
agent_022,AccountingBot-022,accounting
agent_023,CollectionsBot-023,collections
agent_024,SupportBot-024,support
agent_025,CollectionsBot-025,collections
agent_026,AccountingBot-026,accounting
agent_027,CommerceBot-027,commerce
agent_028,FinanceBot-028,finance
agent_029,SupportBot-029,support
agent_030,CollectionsBot-030,collections
agent_031,CommerceBot-031,commerce
agent_032,CommerceBot-032,commerce
agent_033,SupportBot-033,support
agent_034,SupportBot-034,support
agent_035,CommerceBot-035,commerce
agent_036,FinanceBot-036,finance
agent_037,FinanceBot-037,finance
agent_038,CollectionsBot-038,collections
agent_039,FinanceBot-039,finance
agent_040,CommerceBot-040,commerce
agent_041,CommerceBot-041,commerce
agent_042,AccountingBot-042,accounting
agent_043,CommerceBot-043,commerce
agent_044,FinanceBot-044,finance
agent_045,CollectionsBot-045,collections
agent_046,AccountingBot-046,accounting
agent_047,FinanceBot-047,finance
agent_048,CollectionsBot-048,collections
agent_049,FinanceBot-049,finance
agent_050,AccountingBot-050,accounting
