transaction_id,agent_id,customer_id,beneficiary_id,action_type,amount,currency,timestamp,device_id,ip_address,status,is_anomaly,anomaly_type
txn_0011510,agent_002,customer_01716,vendor_0275,PAYOUT,15862.68,INR,2026-08-02 09:38:21.200609,device_069,192.168.41.10,SUCCESS,0,NONE
txn_0043107,agent_020,customer_04988,vendor_0069,REFUND,5005.58,INR,2026-08-21 14:49:14.200609,device_068,192.168.139.46,SUCCESS,0,NONE
txn_0088756,agent_002,customer_03115,vendor_0473,PAYMENT,12006.98,INR,2026-08-30 15:47:23.200609,device_158,192.168.68.70,SUCCESS,0,NONE
txn_0088623,agent_007,customer_01207,vendor_0250,PAYMENT,13765.2,INR,2026-08-16 17:57:11.200609,device_068,192.168.234.196,SUCCESS,0,NONE
txn_0091168,agent_022,customer_01640,vendor_0150,REFUND,16952.15,INR,2026-08-12 14:18:39.200609,device_121,192.168.130.171,SUCCESS,0,NONE
txn_0026416,agent_032,customer_00194,vendor_0384,PAYMENT,3794.16,INR,2026-08-16 17:16:13.200609,device_095,192.168.52.69,SUCCESS,0,NONE
txn_0046305,agent_020,customer_03478,vendor_0306,REFUND,17889.02,INR,2026-08-19 16:47:10.200609,device_093,192.168.138.104,SUCCESS,0,NONE
txn_0081179,agent_050,customer_01700,vendor_0453,REFUND,20082.83,INR,2026-08-18 17:31:07.200609,device_140,192.168.51.220,SUCCESS,0,NONE
txn_0046895,agent_039,customer_00976,vendor_0361,PAYMENT,13957.38,INR,2026-08-07 17:10:50.200609,device_199,192.168.152.56,SUCCESS,0,NONE
txn_0082110,agent_027,customer_03902,vendor_0413,PAYMENT,2427.12,INR,2026-08-07 19:35:40.200609,device_095,192.168.120.158,SUCCESS,0,NONE
txn_0095438,agent_022,customer_01708,vendor_0251,PAYOUT,464128.03,INR,2026-08-18 14:36:45.200609,device_089,192.168.114.110,SUCCESS,1,LARGE_AMOUNT
txn_0041400,agent_041,customer_03378,vendor_0354,PAYMENT_LINK,2707.63,INR,2026-08-04 14:50:16.200609,device_052,192.168.188.31,SUCCESS,0,NONE
txn_0007329,agent_010,customer_02458,vendor_0392,PAYOUT,8051.14,INR,2026-08-31 17:07:14.200609,device_034,192.168.76.45,SUCCESS,0,NONE
txn_0089180,agent_049,customer_04337,vendor_0076,PAYMENT,10139.67,INR,2026-08-02 11:59:06.200609,device_125,192.168.213.206,SUCCESS,0,NONE
txn_0095424,agent_043,customer_01410,vendor_0044,PAYMENT_LINK,901.32,INR,2026-08-12 09:27:18.200609,device_014,10.213.183.148,FAILED,1,IP_CHANGE
txn_0096933,agent_003,customer_00913,vendor_0009,PAYMENT,4270.73,INR,2026-08-20 18:18:45.200609,device_200,192.168.99.108,SUCCESS,1,NEW_BENEFICIARY
txn_0059003,agent_015,customer_03231,vendor_0341,REFUND,4474.61,INR,2026-08-04 16:40:45.200609,device_197,192.168.188.249,SUCCESS,0,NONE
txn_0040109,agent_050,customer_03252,vendor_0207,PAYOUT,36187.2,INR,2026-08-16 14:26:15.200609,device_056,192.168.184.73,SUCCESS,0,NONE
txn_0052499,agent_010,customer_04316,vendor_0306,REFUND,11033.59,INR,2026-08-15 14:07:39.200609,device_108,192.168.225.148,SUCCESS,0,NONE
txn_0007480,agent_010,customer_01415,vendor_0063,PAYOUT,11900.09,INR,2026-08-03 14:28:05.200609,device_146,192.168.232.64,SUCCESS,0,NONE
txn_0020163,agent_030,customer_00852,vendor_0283,PAYOUT,3674.9,INR,2026-08-12 16:30:46.200609,device_109,192.168.55.30,SUCCESS,0,NONE
txn_0083537,agent_022,customer_03970,vendor_0044,PAYOUT,20242.18,INR,2026-08-29 09:46:52.200609,device_115,192.168.91.105,SUCCESS,0,NONE
